threshold,precision,recall,f1,predicted_positive_rate
0.31000000000000005,0.4875502008032129,0.9469578783151326,0.6436903499469777,0.33067729083665337
0.32000000000000006,0.4967213114754098,0.9453978159126365,0.6512627619559377,0.3240371845949535
0.33000000000000007,0.5084175084175084,0.9422776911076443,0.6604702022963368,0.3155378486055777
0.3400000000000001,0.517566409597258,0.9422776911076443,0.668141592920354,0.3099601593625498
0.3500000000000001,0.523892267593397,0.9407176287051482,0.6729910714285714,0.3057104913678619
0.36000000000000004,0.5346358792184724,0.9391575663026521,0.6813808715336729,0.299070385126162
0.37000000000000005,0.5443840579710145,0.9375975039001561,0.6888252148997135,0.2932270916334661
0.38000000000000006,0.5550416281221091,0.9360374414976599,0.6968641114982579,0.28711819389110227
0.39000000000000007,0.5634995296331138,0.9344773790951638,0.7030516431924883,0.28233731739707835
0.4000000000000001,0.5766634522661523,0.9329173166926678,0.7127532777115614,0.2754316069057105
0.4100000000000001,0.58203125,0.9297971918876755,0.715915915915916,0.27197875166002655
0.4200000000000001,0.5871287128712871,0.9251170046801872,0.7183525136281042,0.2682602921646746
0.43000000000000005,0.5896414342629482,0.9235569422776911,0.7197568389057751,0.26666666666666666
0.44000000000000006,0.5997973657548126,0.9235569422776911,0.7272727272727273,0.2621513944223108
0.45000000000000007,0.6049129989764586,0.921996879875195,0.73053152039555,0.25949535192563083
0.4600000000000001,0.6111685625646329,0.921996879875195,0.7350746268656716,0.2568393094289509
0.4700000000000001,0.6197478991596639,0.9204368174726989,0.7407407407407407,0.2528552456839309
0.4800000000000001,0.6246023329798516,0.9188767550702028,0.7436868686868687,0.250464807436919
0.4900000000000001,0.6306209850107066,0.9188767550702028,0.7479365079365079,0.24807436918990705
0.5000000000000001,0.6374458874458875,0.9188767550702028,0.7527156549520767,0.24541832669322708
0.5100000000000001,0.649393605292172,0.9188767550702028,0.7609819121447028,0.2409030544488712
0.5200000000000001,0.6569832402234637,0.9173166926677067,0.765625,0.23771580345285526
0.5300000000000001,0.661036036036036,0.9157566302652106,0.7678221059516024,0.2358565737051793
0.5400000000000001,0.6681870011402509,0.9141965678627145,0.7720685111989459,0.23293492695883133
0.55,0.6774566473988439,0.9141965678627145,0.7782204515272244,0.2297476759628154
0.56,0.6806526806526807,0.9110764430577223,0.7791861240827218,0.22788844621513943
0.5700000000000001,0.6875,0.9095163806552262,0.7830758898589657,0.22523240371845948
0.5800000000000001,0.6924910607866508,0.906396255850234,0.7851351351351351,0.22284196547144755
0.5900000000000001,0.7004830917874396,0.9048361934477379,0.7896528250510552,0.2199203187250996
0.6000000000000001,0.7064555420219245,0.9048361934477379,0.7934336525307798,0.21806108897742363
0.6100000000000001,0.7121771217712177,0.9032761310452418,0.796423658872077,0.21593625498007968
0.6200000000000001,0.7158808933002482,0.9001560062402496,0.7975120939875605,0.2140770252324037
0.6300000000000001,0.7281921618204804,0.8985959438377535,0.8044692737430168,0.2100929614873838
0.6400000000000001,0.7371134020618557,0.8923556942277691,0.8073394495412844,0.20610889774236388
0.6500000000000001,0.7441253263707572,0.8892355694227769,0.8102345415778252,0.20345285524568393
0.6600000000000001,0.7483530961791831,0.8861154446177847,0.8114285714285714,0.20159362549800797
0.6700000000000002,0.7556742323097463,0.8829953198127926,0.814388489208633,0.19893758300132802
0.6800000000000002,0.7631935047361299,0.8798751950078003,0.8173913043478261,0.19628154050464808
0.6900000000000002,0.7643051771117166,0.875195007800312,0.816,0.1949535192563081
0.7000000000000002,0.7692307692307693,0.8736349453978159,0.8181154127100073,0.19335989375830012
0.7100000000000002,0.7725381414701803,0.8689547581903276,0.8179148311306902,0.19150066401062418
0.7200000000000001,0.7794943820224719,0.8658346333853354,0.8203991130820399,0.18911022576361222
0.7300000000000001,0.7823613086770982,0.858034321372855,0.8184523809523809,0.18671978751660026
0.7400000000000001,0.7878787878787878,0.8517940717628705,0.8185907046476761,0.18406374501992032
0.7500000000000001,0.7917888563049853,0.8424336973478939,0.8163265306122449,0.1811420982735724
0.7600000000000001,0.8035982008995503,0.8361934477379095,0.8195718654434251,0.17715803452855244
