threshold,precision,recall,f1,predicted_positive_rate
0.3400000000000001,0.5896656534954408,0.9326923076923077,0.7225325884543762,0.2911504424778761
0.3500000000000001,0.6075353218210361,0.9302884615384616,0.7350427350427351,0.28185840707964605
0.36000000000000004,0.6133122028526149,0.9302884615384616,0.7392550143266475,0.27920353982300883
0.37000000000000005,0.6162420382165605,0.9302884615384616,0.7413793103448276,0.2778761061946903
0.38000000000000006,0.6270358306188925,0.9254807692307693,0.7475728155339806,0.27168141592920353
0.39000000000000007,0.632183908045977,0.9254807692307693,0.751219512195122,0.26946902654867255
0.4000000000000001,0.6405990016638935,0.9254807692307693,0.7571288102261554,0.265929203539823
0.4100000000000001,0.6458684654300169,0.9206730769230769,0.759167492566898,0.26238938053097344
0.4200000000000001,0.652991452991453,0.9182692307692307,0.7632367632367633,0.2588495575221239
0.43000000000000005,0.662020905923345,0.9134615384615384,0.7676767676767676,0.25398230088495577
0.44000000000000006,0.6702127659574468,0.9086538461538461,0.7714285714285715,0.24955752212389382
0.45000000000000007,0.6781193490054249,0.9014423076923077,0.7739938080495357,0.24469026548672565
0.4600000000000001,0.6793478260869565,0.9014423076923077,0.7747933884297521,0.24424778761061947
0.4700000000000001,0.6855575868372943,0.9014423076923077,0.778816199376947,0.2420353982300885
0.4800000000000001,0.6951672862453532,0.8990384615384616,0.7840670859538784,0.23805309734513275
0.4900000000000001,0.7005649717514124,0.8942307692307693,0.7856388595564942,0.23495575221238937
0.5000000000000001,0.7045454545454546,0.8942307692307693,0.788135593220339,0.2336283185840708
0.5100000000000001,0.7126436781609196,0.8942307692307693,0.7931769722814499,0.23097345132743363
0.5200000000000001,0.7215686274509804,0.8846153846153846,0.7948164146868251,0.22566371681415928
0.5300000000000001,0.7290836653386454,0.8798076923076923,0.7973856209150327,0.22212389380530972
0.5400000000000001,0.7372708757637475,0.8701923076923077,0.7982359426681367,0.2172566371681416
0.55,0.7417355371900827,0.8629807692307693,0.7977777777777778,0.21415929203539824
0.56,0.7510460251046025,0.8629807692307693,0.8031319910514542,0.21150442477876105
0.5700000000000001,0.7557894736842106,0.8629807692307693,0.8058361391694725,0.21017699115044247
0.5800000000000001,0.7617021276595745,0.8605769230769231,0.8081264108352144,0.2079646017699115
0.5900000000000001,0.7705627705627706,0.8557692307692307,0.8109339407744874,0.20442477876106194
0.6000000000000001,0.7724288840262582,0.8485576923076923,0.8087056128293242,0.20221238938053096
0.6100000000000001,0.7807606263982103,0.8389423076923077,0.8088064889918888,0.19778761061946903
0.6200000000000001,0.7850678733031674,0.8341346153846154,0.8088578088578089,0.19557522123893806
0.6300000000000001,0.7894736842105263,0.8293269230769231,0.8089097303634232,0.19336283185840708
0.6400000000000001,0.7958236658932715,0.8245192307692307,0.8099173553719008,0.19070796460176992
0.6500000000000001,0.8066037735849056,0.8221153846153846,0.8142857142857143,0.18761061946902655
0.6600000000000001,0.8081534772182254,0.8100961538461539,0.8091236494597839,0.18451327433628317
0.6700000000000002,0.8067632850241546,0.8028846153846154,0.8048192771084337,0.1831858407079646
0.6800000000000002,0.8102189781021898,0.8004807692307693,0.8053204353083434,0.181858407079646
0.6900000000000002,0.8148148148148148,0.7932692307692307,0.8038976857490865,0.17920353982300885
0.7000000000000002,0.8159203980099502,0.7884615384615384,0.8019559902200489,0.17787610619469027
0.7100000000000002,0.8190954773869347,0.7836538461538461,0.800982800982801,0.17610619469026548
0.7200000000000001,0.8303341902313625,0.7764423076923077,0.8024844720496894,0.17212389380530974
0.7300000000000001,0.8407310704960835,0.7740384615384616,0.8060075093867334,0.16946902654867257
0.7400000000000001,0.8533333333333334,0.7692307692307693,0.809102402022756,0.16592920353982302
0.7500000000000001,0.8548387096774194,0.7644230769230769,0.8071065989847716,0.16460176991150444
0.7600000000000001,0.8544474393530997,0.7620192307692307,0.8055908513341804,0.16415929203539822
