date,SPY_return_1d,SPY_return_5d,market_volatility_20d,QQQ_return_1d,QQQ_return_5d,nasdaq_volatility_20d,VIX,VIX_change_1d,VIX_spike_5d
2013-06-25,0.009614222520675009,-0.043260516057126774,0.010945599131025514,0.007313846010093883,-0.04539282256276722,0.010086377760336808,18.469999313354492,-0.08155152895186313,-0.023887561221990983
2013-06-26,0.009900939603411985,-0.020250826677236877,0.011226849274335603,0.008969318080481736,-0.025975801733894133,0.010386231523668932,17.209999084472656,-0.06821874800887562,-0.09592354621926835
2013-06-27,0.00586987913693604,0.010539573393342216,0.011290242778614935,0.004233038108323539,0.0019709896107902303,0.010350426608594391,16.860000610351562,-0.02033692578385271,-0.07919165751743495
2013-06-28,-0.004097365623335403,0.008486771751855082,0.010896654890079962,0.001405065009046469,0.011926683717888631,0.010225015093755346,16.860000610351562,0.0,-0.05820575537707284
2013-07-01,0.005859633787155927,0.027378091930465143,0.010907831287313681,0.006173740173019304,0.02839517613965792,0.010341723151791429,16.3700008392334,-0.029062856072337162,-0.04570358214614956
2013-07-02,-0.0009295605845129895,0.01664879401973285,0.010868392310677797,0.00041833467689134096,0.0213553537246578,0.010301180396901246,16.440000534057617,0.00427609598262535,-0.0183902433402352
2013-07-03,0.0004341670027587785,0.007118767291079076,0.010405761116912401,0.004042388126049845,0.016367941128248242,0.009938149741057141,16.200000762939453,-0.014598525749495717,-0.020911392143577512
2013-07-05,0.010788724617645684,0.01204372001088605,0.01049163815218894,0.007635749841438333,0.0198117703861993,0.01002813504116086,14.890000343322754,-0.08086421962482693,-0.07813275299490152
2013-07-08,0.005704776416438628,0.022004730205639866,0.010161001442241253,0.0009644487883475605,0.019363055252041406,0.009517178169394557,14.779999732971191,-0.007387549215261857,-0.06075245822638742
2013-07-09,0.007197364785208382,0.02336393318170993,0.010295367473211381,0.006056363424231881,0.01924413988337048,0.009627559693625045,14.350000381469727,-0.029093326066997327,-0.0640490442867383
2013-07-10,0.0003633352923131383,0.024688267240154493,0.009996580547998526,0.005746419748034803,0.02467248850246806,0.009427402589833241,14.210000038146973,-0.00975612122655678,-0.04541180990123028
2013-07-11,0.013620679016565163,0.03819446744006383,0.010161216281144234,0.01986123033661391,0.040816361116630784,0.009900287822987687,14.010000228881836,-0.014074581895019977,-0.030315608505132485
2013-07-12,0.0004180128070303546,0.027542572179489966,0.00965817478906672,0.0044017850564415095,0.03747590454784633,0.009607521421385198,13.84000015258789,-0.012134195111823565,-0.027953360811763694
2013-07-15,0.0038206639044593427,0.025617548194088124,0.00951866165075771,0.002257611713886165,0.03881623724150507,0.009403948467749381,13.789999961853027,-0.0036127305045956515,-0.01780628119785188
2013-07-16,-0.003746593201848558,0.014473441040255164,0.009472281690377312,-0.001325009573388769,0.031194507086182766,0.009264198960309519,14.420000076293945,0.045685287613029146,0.026042406600039758
2013-07-17,0.0025668139017109848,0.016707999673375662,0.009340889959015396,0.002520827983123919,0.02788729918092203,0.009138327130123837,13.779999732971191,-0.04438282523832271,-0.01345935689688138
2013-07-18,0.005477809977149528,0.008540328803934738,0.008739213139170353,-0.002514489387911656,0.005335487786659376,0.008710115764608962,13.770000457763672,-0.0007256368215736719,-0.010775834605470047
2013-07-19,0.0017765326016006,0.009909878315001786,0.00614047340151157,-0.010349029856268399,-0.009429039642656623,0.00698067909528429,12.539999961853027,-0.08932465178075988,-0.0819912205831792
2013-07-22,0.0019507113236776341,0.008028582530587025,0.006030690660295392,0.002949473542088965,-0.00874524514951669,0.006490442147339702,12.289999961853027,-0.01993620420737685,-0.0800898258412246
2013-07-23,-0.0021238974062038896,0.00967045771174102,0.004936984377197042,-0.007351897344101688,-0.014727352658905124,0.006239054312303051,12.65999984741211,0.030105767836251074,-0.02675277868716197
2013-07-24,-0.0036655736042614517,0.003393910893576324,0.004995674152040761,0.003231859101340273,-0.014028554696177253,0.00616267701909274,13.180000305175781,0.0410742862583815,0.022656750150857885
2013-07-25,0.002432876767896719,0.00035528844867971365,0.0047293874470446815,0.006308741217491587,-0.005307171438268865,0.006054034118909655,12.970000267028809,-0.015933234695336473,0.01901321472805817
2013-07-26,0.0010655771170000605,-0.0003546583864937336,0.004680919501067035,0.005335487786659376,0.010457252272248363,0.00607244028201426,12.720000267028809,-0.01927525018141507,-0.0034471844424787124
2013-07-29,-0.0030749469019226705,-0.005368753168786822,0.0046107576564400855,-0.001857494819512695,0.005614300388272042,0.00615761175381942,13.390000343322754,0.052672960867039986,0.03126926454773815
2013-07-30,0.0,-0.003251762171825323,0.004571835287016965,0.005316946412810664,0.018448627494976888,0.0061352977911776066,13.390000343322754,0.0,0.019801982643098848
2013-07-31,0.0007118475507648103,0.0011274770744669205,0.004527139799670361,0.001851109278496077,0.017046934806260516,0.006115802915795372,13.449999809265137,0.004480915937564056,0.02017594046688176
2013-08-01,0.011558276750882834,0.010240993673920507,0.004951154485632562,0.010162390214800032,0.020941705605717065,0.006332904455646902,12.9399995803833,-0.03791823316833942,-0.01806044066179524
2013-08-02,0.0016992457512596815,0.010880470293002764,0.004587121142862442,0.005617981448031939,0.02122858452719978,0.006271953528593918,11.979999542236328,-0.07418856795036588,-0.08058329912645767
2013-08-05,-0.0014624159371917633,0.012515574210718139,0.00459429590575021,0.000649544258417345,0.02379360901580818,0.006277617562732467,11.84000015258789,-0.011686093071611503,-0.06918236956670476
2013-08-06,-0.0056824911426169855,0.006761963428503881,0.0047323758909062034,-0.005972463055333943,0.012296712137375598,0.006534647851888807,12.720000267028809,0.07432433303208819,0.010646781988669973
2013-08-07,-0.003240458761577525,0.0027857622145150973,0.004840706141300274,-0.0018286232250894763,0.008578613629097731,0.00654645972869656,12.979999542236328,0.020440194162688607,0.0390649801869043
2013-08-08,0.003664797274017806,-0.0050392628143515195,0.003921361738759033,0.004972584296225824,0.003396944514246991,0.0050881846056814424,12.729999542236328,-0.019260401295586482,0.022489938735807735
2013-08-09,-0.002885780237675828,-0.00959344497762682,0.004002930022410544,-0.004036525724867013,-0.00623623943511753,0.005159716208874734,13.40999984741211,0.053417150795617596,0.052920853013162183
2013-08-12,-0.0011812471273172642,-0.00931456570777045,0.003943122012628036,0.002353252846161169,-0.00454425460108876,0.0051611853191803085,12.8100004196167,-0.04474268714560792,-0.009280704160666398
2013-08-13,0.002956655420704779,-0.0007069764933013145,0.0038659019658452143,0.005608455920766531,0.007053303719270154,0.005243024159533824,12.3100004196167,-0.039032004966551015,-0.041874185594939495
2013-08-14,-0.005129385732308034,-0.002600704584852287,0.004041714210803894,-0.003761360846520456,0.005103368215035209,0.005343691434608768,13.039999961853027,0.05930134178330593,0.013996883605918775
2013-08-15,-0.013986017147825547,-0.02014133161059395,0.0049549028895928375,-0.016924820514042982,-0.016796886253480636,0.00663457740786951,14.729999542236328,0.1296011951938032,0.11085969078886815
2013-08-16,-0.00330570402462238,-0.02055398841013345,0.0049498660458527025,-0.00039728219372514584,-0.013204268989976509,0.006165155266559506,14.369999885559082,-0.024439895985400084,0.06824262835703343
